scenario_id,team,group,elo,knockout_initial_elo,knockout_initial_elos_source,reach_r32,reach_r32_ci_low,reach_r32_ci_high,reach_r32_count,reach_r16,reach_r16_ci_low,reach_r16_ci_high,reach_r16_count,reach_qf,reach_qf_ci_low,reach_qf_ci_high,reach_qf_count,reach_sf,reach_sf_ci_low,reach_sf_ci_high,reach_sf_count,reach_final,reach_final_ci_low,reach_final_ci_high,reach_final_count,runner_up,runner_up_ci_low,runner_up_ci_high,runner_up_count,third_place,third_place_ci_low,third_place_ci_high,third_place_count,champion,champion_ci_low,champion_ci_high,champion_count
C01,Spain,H,2154.0,2129.602457212529,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.68819,0.6853117238871195,0.6910538181855664,68819,0.4252,0.42213882964901234,0.42826691695263025,42520,0.27149,0.26874241339842897,0.27425514216228386,27149,0.16401,0.16172790836165807,0.16631790448173545,16401,0.0676,0.06606050456618417,0.06917271509357764,6760,0.06391,0.06241071571084058,0.0654427874376921,6391,0.09641,0.0945961308654104,0.0982548754308044,9641
C01,Argentina,J,2084.0,2062.9968237595217,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.62129,0.6182789818781941,0.6242916998689555,62129,0.41031,0.40726479252635867,0.4133620980177766,41031,0.25629,0.2535934725804854,0.2590052507388499,25629,0.14994,0.14774070217681257,0.15216619161156902,14994,0.06537,0.06385463949382833,0.06691875148841561,6537,0.06054,0.05907869726637263,0.06203506478653886,6054,0.08457,0.08286139490016323,0.08631052101855755,8457
C01,Colombia,K,1996.0,1981.1476074144798,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.64779,0.6448238676195601,0.6507447782326226,64779,0.42927,0.42620496289735516,0.4323404710215509,42927,0.22291,0.22034109429034315,0.22550019348838812,22291,0.12049,0.11848692283011142,0.12252223349060137,12049,0.05723,0.055807265737011634,0.05868675061070517,5723,0.05589,0.05448325869310859,0.057330860601749925,5589,0.06326,0.06176794510745476,0.06478560797812427,6326
C01,France,I,2059.0,2040.1233293933303,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.7253,0.722524849548187,0.7280578415032831,72530,0.39663,0.39360200175055654,0.39966593977633896,39663,0.22972,0.22712322695809667,0.23233753763404125,22972,0.11884,0.11684896899275003,0.12086031409123428,11884,0.05631,0.05489822164430759,0.05775586538353636,5631,0.05991,0.058455938637459466,0.061397871815973885,5991,0.06253,0.06104611840161012,0.0640474907671133,6253
C01,Brazil,C,1986.0,1969.5852316990515,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.59492,0.5918737896566679,0.5979589179980394,59492,0.34453,0.3415906650557911,0.3474812791174356,34453,0.20113,0.1986570842509153,0.20362587680300012,20113,0.10942,0.10750019647565427,0.11136981031137112,10942,0.05071,0.049367314759833275,0.0520872024948716,5071,0.04947,0.04814321232339675,0.05083140019582733,4947,0.05871,0.05726985955857711,0.06018404308632644,5871
C01,Ecuador,E,1948.0,1935.0604177595199,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.57069,0.5676194951005158,0.5737550740536272,57069,0.30223,0.29939139162291445,0.3050838022996368,30223,0.16832,0.16601378600206732,0.1706516957202958,16832,0.08676,0.08503121722196155,0.0885205304473261,8676,0.04156,0.040340512432895596,0.04281470778176955,4156,0.04334,0.04209540920068794,0.04461967426329641,4334,0.0452,0.043929798596397174,0.046505141970808364,4520
C01,England,L,2001.0,1981.2986952259484,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.62481,0.6218043858575167,0.6278060254613204,62481,0.31676,0.3138837187631487,0.3196503588743508,31676,0.16025,0.15798941489374851,0.16253668681625166,16025,0.08215,0.0804640934475832,0.08386800839060247,8215,0.04016,0.03896068855198661,0.04139463921939377,4016,0.0401,0.038901562066768286,0.0413337703141856,4010,0.04199,0.04076439301684321,0.04325079416254512,4199
C01,Mexico,A,1894.0,1874.1394600346816,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.67513,0.6722206577899219,0.6780258876332648,67513,0.3943,0.3912751785391383,0.39733294199286184,39430,0.17956,0.1771934223073281,0.18195119588826414,17956,0.08569,0.08397103337949274,0.08744079649385583,8569,0.04597,0.04468937337171939,0.047285508039292774,4597,0.04447,0.04320977681005598,0.045765219840293934,4447,0.03972,0.03852711153952531,0.040948250035394144,3972
C01,Japan,F,1931.0,1914.8108519259297,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.51599,0.512892055140612,0.5190867164080475,51599,0.28982,0.28701623800618564,0.2926399093298199,28982,0.14025,0.13811160126525698,0.1424160369692465,14025,0.06873,0.06717846205234836,0.07031467079377902,6873,0.03526,0.034134607923769135,0.036421096296114557,3526,0.03594,0.03480402035349966,0.037111631624550924,3594,0.03347,0.032373032491187524,0.034602809247639206,3347
C01,Portugal,K,1944.0,1931.5406646772576,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.52402,0.5209237395079587,0.5271144151261129,52402,0.22882,0.22622685384235375,0.23143397989338677,22882,0.1227,0.12068097945650787,0.12474800707824733,12270,0.06326,0.06176794510745476,0.06478560797812427,6326,0.03126,0.030199311510283832,0.03235670001450053,3126,0.03037,0.02932431919828305,0.031451760701841705,3037,0.032,0.03092701090273837,0.03310894377063936,3200
